tweet_id,favorites,retweets
675432746517426176,1562,593
675483430902214656,1884,1012
675489971617296384,1331,622
675497103322386432,3206,1351
675501075957489664,17512,6040
675517828909424640,1325,475
675522403582218240,1065,297
675531475945709568,1211,402
675534494439489536,1861,434
675706639471788032,657,102
675707330206547968,2026,727
675710890956750848,1934,857
675740360753160193,1196,360
675781562965868544,1660,493
675798442703122432,10487,3524
675820929667219457,1077,240
675822767435051008,1558,556
675845657354215424,2337,925
675853064436391936,2753,1355
675870721063669760,1679,598
675878199931371520,4273,1455
675888385639251968,2436,1003
675891555769696257,2183,904
675898130735476737,1670,597
676089483918516224,1350,451
676098748976615425,3086,1500
676101918813499392,2888,1210
676146341966438401,1974,692
676191832485810177,2345,1077
676215927814406144,1786,609
676219687039057920,76874,32359
676237365392908289,1261,306
676263575653122048,2134,578
676430933382295552,1433,361
676440007570247681,1765,694
676470639084101634,11911,4884
676496375194980353,1559,558
676533798876651520,1931,583
676575501977128964,2669,1170
676582956622721024,1237,291
676588346097852417,2390,834
676603393314578432,1198,403
676606785097199616,1935,459
676613908052996102,1119,205
676617503762681856,2984,1029
676776431406465024,5148,2102
676811746707918848,1454,444
676819651066732545,1855,697
676821958043033607,23739,16356
676864501615042560,2161,743
676897532954456065,2324,759
676936541936185344,13090,5145
676942428000112642,2133,797
676946864479084545,1762,394
676948236477857792,2240,915
676949632774234114,1345,419
676957860086095872,2285,847
676975532580409345,2865,1126
677187300187611136,2813,971
677228873407442944,3651,1720
677269281705472000,2060,742
677301033169788928,1281,431
677314812125323265,1693,562
677328882937298944,3743,1576
677331501395156992,1128,246
677334615166730240,1398,307
677530072887205888,1111,238
677547928504967168,7155,3836
677557565589463040,2514,1224
677565715327688705,1337,481
677573743309385728,2215,762
677644091929329666,1924,838
677662372920729601,2015,1025
677673981332312066,3453,1576
677687604918272002,2558,892
677698403548192770,1268,336
677700003327029250,3508,1525
677716515794329600,3160,1016
677895101218201600,4997,2221
677918531514703872,1398,432
678021115718029313,14210,6729
678255464182861824,1639,394
678278586130948096,11853,6406
678334497360859136,1347,274
678341075375947776,1789,567
678380236862578688,2527,961
678389028614488064,1935,441
678396796259975168,1645,443
678399652199309312,81913,33533
678410210315247616,4384,1927
678424312106393600,5603,2680
678446151570427904,4139,1653
678643457146150913,2122,447
678675843183484930,2978,1565
678740035362037760,3896,1795
678755239630127104,7401,3494
678764513869611008,1698,503
678767140346941444,3666,1444
678774928607469569,2900,969
678798276842360832,3604,1254
678800283649069056,2673,953
678969228704284672,1701,488
678991772295516161,2413,1244
